City,,liv_exp_low ( rent is included ),liv_exp_high ( rent is included ),,,Fx,liv_exp_low_hkd,liv_exp_high_hkd,,,,,
Tuscaloosa,USD,1200,2000,,,7.85,9420,15700,,,,,
Fairbanks,USD,1400,2300,,,7.85,10990,18055,,,,,
Hatfield,GBP,900,1500,,,10.5,9450,15750,,,,,
Denton,USD,1200,2000,,,7.85,9420,15700,,,,,
Salford,GBP,900,1500,,,10.5,9450,15750,,,,,
Richmond,USD,1300,2200,,,7.85,10205,17270,,,,,
Bathurst,AUD,1800,3000,,,5.1,9180,15300,,,,,
Potsdam,USD,1200,2000,,,7.85,9420,15700,,,,,
Clemson,USD,1200,2000,,,7.85,9420,15700,,,,,
Fairfax,USD,1500,2500,,,7.85,11775,19625,,,,,
Waco,USD,1200,2000,,,7.85,9420,15700,,,,,
Binghamton,USD,1300,2200,,,7.85,10205,17270,,,,,
Provo,USD,1200,2000,,,7.85,9420,15700,,,,,
Boca Raton,USD,1400,2300,,,7.85,10990,18055,,,,,
Indianapolis,USD,1300,2200,,,7.85,10205,17270,,,,,
Kent,USD,1200,2000,,,7.85,9420,15700,,,,,
Starkville,USD,1200,2000,,,7.85,9420,15700,,,,,
Flagstaff,USD,1300,2200,,,7.85,10205,17270,,,,,
Xi'an,CNY,5000,10000,,,1.1,5500,11000,,,,,
Dallas,USD,1500,2500,,,7.85,11775,19625,,,,,
Fayetteville,USD,1200,2000,,,7.85,9420,15700,,,,,
Preston,GBP,900,1500,,,10.5,9450,15750,,,,,
Moscow,USD,1200,2000,,,7.85,9420,15700,,,,,
Louisville,USD,1200,2000,,,7.85,9420,15700,,,,,
Kansas City,USD,1200,2000,,,7.85,9420,15700,,,,,
Reno,USD,1300,2200,,,7.85,10205,17270,,,,,
Armidale,AUD,1800,3000,,,5.1,9180,15300,,,,,
Charlotte,USD,1400,2300,,,7.85,10990,18055,,,,,
Regina,CAD,1500,2500,,,5.7,8550,14250,,,,,
Arlington,USD,1400,2300,,,7.85,10990,18055,,,,,
San Antonio,USD,1300,2200,,,7.85,10205,17270,,,,,
Toledo,USD,1200,2000,,,7.85,9420,15700,,,,,
Tulsa,USD,1200,2000,,,7.85,9420,15700,,,,,
Burlington,USD,1300,2200,,,7.85,10205,17270,,,,,
Telford,GBP,900,1500,,,10.5,9450,15750,,,,,
Laramie,USD,1200,2000,,,7.85,9420,15700,,,,,
Logan,USD,1200,2000,,,7.85,9420,15700,,,,,
Morgantown,USD,1200,2000,,,7.85,9420,15700,,,,,
Williamsburg,USD,1300,2200,,,7.85,10205,17270,,,,,
St. Catharines,CAD,1500,2500,,,5.7,8550,14250,,,,,
San Luis Obispo,USD,1500,2500,,,7.85,11775,19625,,,,,
Milwaukee,USD,1300,2200,,,7.85,10205,17270,,,,,
Las Cruces,USD,1200,2000,,,7.85,9420,15700,,,,,
Portland,USD,1500,2500,,,7.85,11775,19625,,,,,
Musselburgh,GBP,900,1500,,,10.5,9450,15750,,,,,
Northampton,GBP,900,1500,,,10.5,9450,15750,,,,,
Chippendale,AUD,2000,3500,,,5.1,10200,17850,,,,,
Derby,GBP,900,1500,,,10.5,9450,15750,,,,,
Memphis,USD,1200,2000,,,7.85,9420,15700,,,,,
Greensboro,USD,1200,2000,,,7.85,9420,15700,,,,,
San Francisco,USD,2500,4000,,,7.85,19625,31400,,,,,
Mobile,USD,1200,2000,,,7.85,9420,15700,,,,,
El Paso,USD,1200,2000,,,7.85,9420,15700,,,,,
Kalamazoo,USD,1200,2000,,,7.85,9420,15700,,,,,
Mount Pleasant,USD,1200,2000,,,7.85,9420,15700,,,,,
Cleveland,USD,1200,2000,,,7.85,9420,15700,,,,,
Newport,GBP,900,1500,,,10.5,9450,15750,,,,,
Hilo,USD,1400,2300,,,7.85,10990,18055,,,,,
Stockton,USD,1300,2200,,,7.85,10205,17270,,,,,
Stanford(CA),USD,2000,3500,,,7.85,15700,27475,,,,,
Ann Arbor (MI),USD,1300,2200,,,7.85,10205,17270,,,,,
Cambridge,GBP,1200,2000,,,10.5,12600,21000,,,,,
Philadelphia (PA),USD,1400,2300,,,7.85,10990,18055,,,,,
Los Angeles (CA),USD,2000,3500,,,7.85,15700,27475,,,,,
Cambridge (MA),USD,2000,3500,,,7.85,15700,27475,,,,,
London (ON),CAD,1500,2500,,,5.7,8550,14250,,,,,
Kingston (ON),CAD,1500,2500,,,5.7,8550,14250,,,,,
New York (NY),USD,2500,4000,,,7.85,19625,31400,,,,,
Evanston (IL),USD,1400,2300,,,7.85,10990,18055,,,,,
Berkeley (CA),USD,2000,3500,,,7.85,15700,27475,,,,,
New Haven (CT),USD,1400,2300,,,7.85,10990,18055,,,,,
Edmonton (AB),CAD,1500,2500,,,5.7,8550,14250,,,,,
Durham (NC),USD,1200,2000,,,7.85,9420,15700,,,,,
Chicago (IL),USD,1500,2500,,,7.85,11775,19625,,,,,
Seattle (WA),USD,2000,3500,,,7.85,15700,27475,,,,,
Pittsburgh (PA),USD,1300,2200,,,7.85,10205,17270,,,,,
Austin (TX),USD,1500,2500,,,7.85,11775,19625,,,,,
Bedford,GBP,900,1500,,,10.5,9450,15750,,,,,
